そして25日夜から微熱が4日間続いた。	そして25日の夜から微熱が4日続きました。
孤独感や倦怠感があり、辛い。	孤独感とか倦怠感、辛いな。
この1週間の体調は、胃重感があり、食欲不振である。	体調は、この1週間は胃が重く食欲がない。
1.5kgの体重減少があった。	体重も1.5kg減った。
胃薬(ドンペリ何とかという薬)を再開し、胃重感が少し良くなった。	胃薬(ドンペリ何たらと言う薬)を再開したら、胃が少し良くなった感じですが。
腫瘍マーカー異常が改善していた。	CEAの値が下がっていた。
抗がん剤治療初日に副作用の耳鳴が出現し、1回で中止になった。	抗がん剤初日で耳鳴りの副作用で1回で中止に。
私のように嘔気が出ず、他の副作用も少ないのは珍しいようだ。	私のように吐き気もなく、他の副作用が少ないのは珍しい。
早速嘔気が出現した。	早速嫌〜な吐き気がきました。
キイトルーダ開始前に出来た頚部リンパ節腫大が縮小しており、効いているはずだが、肺癌は変化がない。	キイトルーダ開始前に出来た頸部の腫れが小さくなってるから効いてるはずなのに、肺の影には変化無し。
少し強めと聞いて期待したが、前の薬の方が一度の睡眠時間が長い。	少し強めと言われて期待しましたが、前の方が1度の睡眠時間が長いです。
下半身に倦怠感があり、腰、股関節、膝、足首にかけ痛みがある。	下半身が重怠く、腰、股関節、膝、足首にかけキシキシ～キシキシ～。
筋肉痛もある。	筋肉もキシキシ～。
初めての抗がん剤治療は、副作用も出ず白血球減少症もなく、無事に終了した。	始めての抗がん剤治療は副作用も出ず白血球も下がらず無事終わりました。
頭部皮疹：リンデロンローションを塗布した。	頭皮の発疹→リンデロンローション塗っていたら。
頭部皮疹は、数日でほぼ消失した。	数日でほぼ消えました。
鼻周りの湿疹：アルメタ軟膏を塗布した。	鼻の回りの赤いプツプツ→アルメタ軟膏を塗っていたら。
湿疹は数日で消失した。	数日で消えました。
舌の裏側の口内炎：アフタゾロンを塗布したり、アフタッチを貼ったりした。	下の裏側の口内炎→アフタゾロンを塗ったり、アフタッチを貼ったり。
アズノールうがい薬でうがいをしていたら、口内炎が消失した。	アズノールうがい薬でうがいをしていたら→すっかり消えました。
皮膚そう痒症：ヒロドイド軟膏を塗布した。	左の向こうずねとふくらはぎの痒み→ヒロドイド軟膏を塗っていたら。
そう痒がなくなり、保湿された。	まったく痒くなくなって、しっとりしました。
頭重がある。	ちょっとぼーっとするぐらい。
少し胸痛がある。	胸ちょっとズキンと感あり。
夕方、胸痛がある。	胸に夕方、ズキズキ感あり。
嗄声がある。	声かすれている。
昼間から晩まで吐き気がある。	昼間から晩まではきけあり。
頭重がある。	ちょっとぼーっとする。
肺痛がある。	左肺ズキンとある。
腹部不快感が出てから2週間、便秘が著しく、センノシド、酸化マグネシウムを3日前から服用し始めたが、便秘は改善しない。	モヤモヤから2週間便秘がハンパなくセンノシド、酸化マグネシウムを3日前から始めるもふんともすんとも。
2日目頃から食欲低下があり、6日目頃に回復した。	2日目辺りから食欲低下6日目ぐらいに食欲回復。
2回目投薬(ナベルビンのみ)で、再度食欲低下。	2回目投薬(ナベルビだけ)で又々食欲低下。
残すと悪いので少しでも食べよう思ったが、食べると腹部膨満感が出てしまう。	残すとなんか悪いんで少しでも食べよう思ったが、食べると満腹でダウン。
胸部圧迫感、頚部浮腫、口腔乾燥、胸痛(術傷辺)、頭重があった。	胸のつっかえ感、首の浮腫、口腔乾燥、胸の痛み(術傷辺)、ボーとした感じ。
免疫能低下のためか、肩の筋肉痛と腰痛が強かった。	免疫下がってるから肩の筋肉と腰痛がハンパなく痛かった。
初回のアリムタとシスプラチンの時はこれほどの便秘は無かったが、やはり毎回油断は禁物である。	初回のアリムタとシスプラチンの時はこんなに便秘しなかったのにやっぱり毎回油断は禁物ね。
呼吸困難になり、嘔気が襲ってくる。	なんか息も上手いこと吸えない、でも吐き気が容赦なく襲ってくる。
吐き気があるのに吐けず、次第に呼吸の仕方がわからなくなってきた。	それでも気持ち悪くてウエッてなるんだけど吐けないし、呼吸のやり方がだんだん分からなくなってきて。
看護師に背中をさすられながらベッドを横にしたが、呼吸が乱れ、パニック発作を起こした。	看護士さんに背中をさすられながらベッドを横にしたけど、やっぱり呼吸のやり方が分からなくてパニック状態になりました。
歯肉痛がある。	右奥歯はぐきがういてきて痛い。
食欲低下、便秘、下痢、頭痛、筋肉痛、腰痛、上肢浮腫、顔の浮腫、発熱、咽喉痛があった。	食欲低下、便秘、下痢、頭痛、筋肉痛、腰痛、浮腫(手、顔)、熱、喉痛。
咽頭違和感がある。	喉に違和感ありかな。
というように、ファーストラインの時と同様、後半に口内炎ができる。	という感じでファーストラインの時と同じく後半に口内炎できる。
歯肉痛があり、鎮痛剤を使用。	右奥歯はぐきが痛い（痛み止め使用）。
不眠がある。	眠れない。
歯肉腫脹のため不眠があった。	歯茎はれてねむれず一睡もできず朝。
歯痛はだいぶ治まった。	歯痛だいぶ収まった。
鼻出血があった。	鼻血でた。
ここ最近たまに頭皮にピリピリ感が出た。	ここ最近頭皮がたまにピリピリした。
今回は、嘔気はほとんど出ず、食欲不振も無かったため、制吐剤ドンペリドンもほとんど服用しなかった。	今回は、吐き気も殆どなく、食欲もあったので、吐き気止め薬ドンペリドンも殆ど飲まなかった。
発熱は無いにも関わらず、倦怠感がある。	熱はないのに体がだるい。
昨夜は、喘息のような咳嗽がなかなか止まず、苦しかった。	昨日の夜は、喘息のような咳が出てなかなかとまらず苦しい思いをした。
嘔気も無い。	吐き気もしない。
そして食欲不振も無い。	しかも食欲がある。
なぜか今回は食欲不振は無く、体重減少も無い。	なぜか今回は食欲も落ちないで体重がどんどん増えている。
鼻出血がある。	鼻かんだらにじむ感じ続き。
鼻出血がある。	鼻血にじむぐらい。
鼻出血がある。	鼻血まじりあり。
肺癌の原発巣はさらに縮小した。	肺の原発もまたもやだいぶ縮小ー。
リンパ節転移の病巣が消失したらしく、さらに原発の肺癌も肉眼で認められるほど縮小しているため、2クール治療後、原発の肺癌に対する放射線治療を再度実施できる可能性が見えてきた。	とりあえず転移先のリンパが消えてそうで、肺の原発も肉眼でみてもグーがパーに見えるくらい（例えでて手を横から見た感じ）で小さくなってるので②クールしたあと、原発の肺に放射線再チャレンジ見えてきた。
副作用は、手のしびれ感、顎の骨の異常、脱毛症だった。	副作用は、手の痺れ、顎の骨の異常、脱毛でした。
味覚障害も食欲不振も無い。	味覚はちゃんとあるし食欲もある。
嚥下障害も特に無い。	飲み込みもこれといって悪くない。
だが、舌浮腫が出ていた。	が、あかんべーしてみたら、舌が浮腫んでた。
ドセタキセルの特徴的な副作用である、筋肉痛と舌浮腫が発現した。	ドセタキセルの特徴的な副作用、筋肉痛&浮腫みが舌にも現れるようになってきた。
また、入院時から便秘が続いていた。	また、排便も入院から止まったままだったので。
過去に便秘など経験したことは無い。	便秘など経験した事も無く。
4日目以降、不安、冷や汗の身体症状が出るようになった。	4日目からは不安感(落ち着かずジッとしていられず、冷や汗がでる）が出る様になり。
また、不眠に対して眠剤(トリプレン)を頓服で服用し始めた。	また不眠に対しての眠剤(トリプレン)の頓服服用も始めました。
しびれ感が強まり歩行に支障が出ることを恐れていたが、幸いにも現時点でしびれ感の発現は無い。	軽いしびれが、一層のしびれになり、歩行に支障が出る事を恐れていたのですが、幸いに今のところは発現はありません。
嘔気はしっかり出た。	しっかり気持ち悪くなりました。
だが、昨日から嚥下痛がある。	でも昨日から喉が痛くて飲み込む時に痛む感じ。
そして、カルボプラチン＋アブラキサン5回（脱毛症が出たのみ）で、1次治療が終了。	からの、カルボプラチン＋アブラキサン5回（全身の毛が抜けただけ）で、1次治療終了。
K病院で3時間待機したが、好中球減少症が改善せず、抗がん剤投与は延期になった。	K病院で三時間待ったが、こうちゅうきゅう戻りが甘く抗がん剤投与延期。
白血球減少症や好中球減少症から回復しにくくなってきていた。	だんだん、白血球、好中球の戻りが悪くなってきてた。
今日は、全身の筋肉痛と胸や背中の痛みと頭痛があるため静かにしている。	今日は、全身筋肉痛＆胸・背中・頭が痛いので静かにしています。
5か月の治療は長かったが、悪性腫瘍に効果があり、副作用が少なかったことは、幸運だった。	長かった５ヶ月だが、治療の効果があったこと、副作用が少なかったことは、ラッキーだった。
吐き気と食欲減退はあるものの、倦怠感は昨日、一昨日に比べ、改善した。	吐き気と食欲減退はありますが、倦怠感は昨日、おとといに比べると少なくなりました。
今朝血便があり、主治医からの指示で消化器の診察を受けた結果、抗がん剤の影響によるクローン病悪化の可能性があるとのことで、今月27日に胃カメラ、28日に大腸内視鏡検査を受けることになった。	今朝、便が出たとき少し血が混ざっていたので看護師さんに言うと、主治医から消化器の診察を受けるよう言われ、診てもらった結果、抗がん剤の影響でクローン病が悪化しているかもわからないので、今月２７日に胃カメラ、２８日に大腸内視鏡検査をすることになりました。
肝機能障害があるが、許容範囲内ということで、明日から1泊2日で外泊できそうだ。	肝臓の数値が基準値を超えていましたが、許容範囲内ということで、明日から１泊２日で外泊出来そうです。
便秘があるが、最初の頃のような腹部膨満感はない。	便秘スッキリしないけど、初めの頃のお腹が膨らみすぎて苦し～ってのはないから、まあ良し。
実は3日ほど前から顔全体と手指に色素沈着がある。	顔と手の黒ずみ実は3日くらい前から顔全体と手指の節々が黒っぽくなってる。
その後、急遽CT検査を行ったが、悪性腫瘍の大きさに変化はないそうだ。	その後急遽CTも撮り原発部分大きくも小さくもなってなく横ばいだそうです。
ジオトリフは、下げ止まりと言われたが1年後に再度悪性腫瘍に効き始めたし、悩むのはもったいないので、頑張ろう。	そう、私も下げ止まりと言われたジオトリフが一年後に再度効きだしたしわからないから悩むの勿体ない、とりあえずガンバる。
漫画の世界に入り過ぎたのか、副作用なのか、ほてりがある。	漫画の世界に入り過ぎたか副作用か身体が火照る。
夕方から嗄声の症状がある。	夕方から嗄声(声枯れ)症状あり。
抗がん剤も良く効くと言われ、悪性腫瘍も縮小している。	抗癌剤も良く効くと言われ、癌も縮小しています。
終了後は、疲労のためしばらく放心状態であった。	終えた後は、どっと疲れが出てしばらくは放心状態、、、。
タルセバを服用して以来、味覚障害が発現した。	タルセバを服用してから味覚障害が始まった。
今日は寝てばかりいるのと、副作用の便秘のため食欲不振のようだったので、夕食を持って行かなかった。	今日は寝てばかりいるのと、副作用の便秘のせいで食欲がないようだったので、晩御飯持って行きませんでした。
明日退院したら翌日から仕事に行くと思うので、早く便秘が治ればいいと思う。	明日退院したら、次の日から仕事に行くと思うので、早く便秘が治ればいいなーと思います。
普段便秘などしないので余計に辛いようだ。	いつも便秘なんてしない人だから余計辛いみたいです。
(リンパ節腫大が出てきたかもしれない。）	(リンパが腫れてきたかもね。
朝起床時から少し倦怠感があった。	朝起きたときからちょっと倦怠感がありました。
胃のむかつきも少しあった。	少しムカムカ感もあったのですが。
しかし倦怠感がとれず、普段は昼間寝たりしないが、午前中眠気に襲われた。	しかし倦怠感はとれず、普段昼間は寝たりしないんですが、午前中はベッドでウトウトしてしましました。
午後も眠気があった。	昼からはまたウトウトしてしまいました。
食欲不振であったが、どうにか汁物でご飯を流し込んだ。	食欲が湧きませんでしたが、なんとかお汁でご飯を流し込みました。
ドセタキセルを前回より減量したので大丈夫とは思うが、前回同様、咽頭違和感や発熱があればすぐ来院するようにと言われた。	前回よりドセタキセルの量を少し減らしたので大丈夫とは思うけど前みたいに喉に異変を感じたり熱が出たらすぐ来てと言われました。
今回から点滴中にアイスグローブで手と足を冷やし、副作用で爪甲剥離症になるのを防ぐ。	今回から点滴中アイスグローブで手と足を冷やして副作用で爪がはげるのを防ぎます。
肺癌が縮小し、悪性腫瘍に奏功し、副作用もあまり無い、シスプラチンとアリムタの2剤併用の抗がん剤治療をできる限り続けていきたい。	肺がんが小さくなり、ほかへの転移も影が消えたり薄くなっており、副作用もあまり無い、シスプラチンとアリムタの二剤併用の抗がん剤治療をできる限り続けて行きたい。
「食欲不振でないなら、リスペリドンをやめようか」	「食欲があるんだったら、リスペリドンをやめようか」
まだ2日目だが、イレッサの後遺症か、皮膚そう痒症が出ている。	まだ2日目だけれど、イレッサの後遺症なのか、全身が痒い。
やはり夜になっても疼痛は悪化するばかりだ。	やはり夜になっても痛みは良くなるところか悪くなり。
だが、服用すると疼痛が少し緩和される。	でも飲むと痛みが少し和らぐ。
腫瘍マーカー異常があったが、前回同様ペメトレキセドとベバシズマブの点滴を受けた。	腫瘍マーカーは上昇気味だったけれど、前回同様、ペメドレキセドとベバシズマブの点滴を受けた。
そういえば、以前、僕の吐き気の様子を見ていた妻が「なんだか、つわりみたいだね」と言った。	そういえば、以前、僕の吐き気の様子を見ていたカミさんが、「なんだか、つわりみたいだね」と言った。
ただし、夜あたりから頭痛があったらしく今日になって発熱していた。	ただ夜ぐらいから少し頭が痛かったらしく今日になって熱がでてた。
明日、明後日と、義母が急用で佐世保に帰ることになり、前回は翌日夜ぐらいから副作用で吐き気や嘔吐等が出ていたので心配だ。	明日あさってと急用でお義母さんが佐世保に帰らないといけなくなったみたいで前回だと明日の夜ぐらいから副作用で吐き気、嘔吐などがあったから心配だなぁ。
今回は白血球減少症もあるが許容範囲であるとして、イリノテカン（トポテシン）投与が実施された。	で、今回は白血球も若干下がり気味だけどこのくらいなら大丈夫だろうとイリノテカン（トポテシン）やりました。
投与中から副作用の異常発汗と流涎があった。	やってる最中から副作用の発汗と唾液だらだら。
帰る頃からしゃっくりが出始めた。	帰る頃から始まるしゃっくり。
胸部不快感がある。	胸のあたりに薬がとどまっているような不快感。
尿意喪失の状態である。	尿意を感じにくい。
加えて、足の親指以外に疼痛が無いことが嬉しい。	それに加えて、足の親指以外、どこにも大きな痛みが無いのが嬉しいです。
便秘は無い。	べんも快便です。
ただし、また尋常性ざ瘡が出ている。	ただ、また白いニキビが出来てきてるので。
レントゲン写真で見る限り、悪性腫瘍の大きさは変わらなかった。	レントゲン写真で見る限り、腫瘍の大きさは変わらなかった。
嘔気と倦怠感を毎回経験している。	毎回しっかり、吐き気とだるさを経験しています。
投与翌日は便秘があり、下剤を2回内服し、解消したそうだ。	ちなみに投与終了の翌日は便秘になり下剤２回飲んでスッキリしたとの事。
今日は嗄声が出たが、喉頭痛はなく、嗄声のみである。	今日は声が森進一ぐらい枯れていました、痛みナシの枯れのみです。
頭痛や背部痛もすっかり解消していた。	頭や背中の痛みもすっかり解消していた。
膝痛は一昨日よりもだいぶ楽になっていた。	膝の痛みは一昨日よりも大分楽になっていた。
骨のCTを見る限り溶けてもいないし、痛みが出る感じではないと医師に言われたので、ロキソニンで頭痛がコントロールができて安心している。	骨のCTを見る限り、溶けてもいないし、傷みがでる感じじゃないと先生は言ってくれてるので、ロキソニンで痛みコントロールできてホッとしています。
脳腫瘍が微妙に薄くなっている。	頭の腫瘍微妙に薄くなっている。
現時点では悪性腫瘍は抑えられているとのことだ。	今のところ、抑えられていると思っていいでしょう。
口内刺激が出てきた。	うがいをすると口の中がしびれるようになった。
結果としては、Ａは口内刺激があり、Ｂは口内刺激が無かった。	【結果】ＡはしびれますがＢはしびれませんでした。
今回のシスプラチンとイリノテカンの併用は、3日経過後、嘔気を除けば、副作用は軽めである。	で、今回のシスプラチンとイリノテカンの組み合わせですが、3日経過で若干の吐き気を除いて、副作用は軽め。
心配されていた腎障害も軽かったのか問題なく、排尿でき、量チェックも無事終了した。	心配されて腎臓への悪影響も軽かったのか問題なく、排尿（量チェックも無事終わり）。
カルボプラチン、アリムタ、アバスチンの3薬併用の治験は、3ラウンド後、原発の悪性腫瘍には奏功しているが、骨転移の抑制ができていないとの判断で中止になったため、新たな抗がん剤治療のために再入院した。	カルボプラチン、アリムタ、アバスチンの3薬組み合わせの治験は3ラウンドの後、骨転移の抑制が出来ていない（原発巣には効果あり）との判断で中止になったので、新たな抗ガン剤治療の為、再入院。
今回、エコー検査を受けたところ、リュープリンの効果が切れ、子宮機能障害や卵巣機能障害はないようだ。	今回、エコーで診てもらうと、リュープリンの効果が切れ、子宮も卵巣も、正常な動きをしているようです。
9月30日、妻が内視鏡等の検査を受けた結果、腫瘍が拡大していたため、TS-1＋シスプラチン併用療法は8クールで中止となり、抗がん剤はCPT-11(イリノテカン)に変更された。	９月３０日に、家内が内視鏡検査等を受けたところ、腫瘍が拡大していたため、TS1とシスプラチンでの治療は８クールで中止し、CPT11(イリノテカン)に変更。
夕方病室に行ったとき、妻は食欲不振のために夕食に手をつけていなかった。	ただ夕方顔を出したとき食欲がなく夕食にまったく手をつけずでした。
避けていたトラムセットのおかげで背部痛が少し緩和された。	避けていたトラムセットのおかげで背中の痛みが少しは楽になりました。
やはり背部痛に効いている。	やっぱり効いてくれます。
今度は嘔気が出るようになったが、仕方がない。	今度は吐き気がくるようになったけど仕方がないですね。
シスプラチン＋エトポシド治療の時のように、倦怠感の副作用が出た日には絶対に作れない。	シスプラチン＋エトポシドの時の様にぐったりして何もやる気がおきなくなる副作用が出た日には絶対に作れない。
今回は、点滴終了後会計待ちの間に嘔吐した。	今回は点滴終わって会計待ちの間にゲロゲロ。
医師は、悪性腫瘍に変化は無いと言う。	ドクターが、一言「変化なし」。
アリムタ療法では、毎回投薬後2週間目頃から倦怠感が出て、起床困難になる。	アリムタを始めてから、毎回投薬の２週間目くらいから、ひどく倦怠感が出て、朝が起きられなくなる。
今日も今起きて朝食をとったところで、無気力になっている。	今日も今起きて朝食とったところ、何もする気が起きない。
また、以前使っていたドセタキセルの副作用だと思うが、四肢のしびれ感が出て、手にもしびれ感がある。	また、以前使ってたドセタキセルの副作用だろうけれど、手足も痺れて感覚が無く、手はこまかい作業は出来ない。
手にしびれ感があり、小銭を財布から出せない。	たとえば、小銭を財布から出せない。
手にしびれ感があり、缶ビールのプルトップを起こせない。	缶ビールのプルトップを起こせない。
だが、現在使っているイリノテカンは悪性腫瘍に奏功しているようだ。	でも、今の抗がん剤（イリノテカン）は効果出てるみたい。
レントゲン画像でも悪性腫瘍は縮小している。	レントゲンでも縮小してる。
腫瘍マーカー異常があるが、徐々に数値が低下している。	腫瘍マーカーも少しずつだけど下がってる。
7月11日に肝機能障害が出て、強力ネオミノファーゲンシー20mlの注射を受けた。	7/11に肝機能障害が出て、強力ネオミファーゲンシー20mlの注射。
肝機能障害が改善されないため、強力ネオミノファーゲンシーが20mlから40mlに増量された。	肝機能障害が改善されないので、強力ネオミファーゲンシー20mlから40mlに増えた。
27日の診察で、また悪性腫瘍は増大。	27日の診察日で又癌が大きくなっている。
先週のCT検査の結果では、点在している悪性腫瘍の大きさは変わらず維持されていた。	先週のCTの結果は沢山点在しているガン細胞は大きくも小さくもなっておらず現状維持。
薬が効いているとの判断により、この治療を継続することになった。	クスリは利いているとの判断でこのままの治療を続けることに。
だが、現在は頭痛のため不眠である。	でも今は頭が痛くて眠れないです。
鼻と口周囲以外には、発疹も出なくなった。	鼻と口周囲以外は発疹も出なくなった。
今日は4回下痢があった。	今日は４回下痢。
肺の悪性新生物は、病状が少しずつ改善している。	病状は少しずつではあるが改善されてはいる。
主治医によると、浮腫と筋力低下はステロイド剤(ベタメタゾン)の副作用に違いないとのことだ。	主治医いわく、浮腫み、筋力低下はステロイド剤(ベタメタゾン)の副作用に違いない。
だが、レントゲン画像では、悪性腫瘍が前回よりやや増大している。	でもレントゲン前回よりやや大きくなってる。
肺癌の増大はなく、左脇の悪性腫瘍が少し増大していた。	肺の腫瘍は大きくなってはいなかったのですが、左脇の腫瘍が少し大きくなっていました。
特に4日目および5日目は、浮動性めまいと倦怠感があり、満月様顔貌が出ていた。	特に4日目5日目は、頭が働かないし、体は怠いし、顔はムーンフェイスでパンパン。
悪性腫瘍が縮小した。	効果もあり、腫瘍のサイズも小さくなった。
「副作用で間質性肺炎になっている」という。	「副作用で間質性肺炎になっています。
前回のように嘔気が出る前に薬で症状を緩和するとのことで、点滴の針はそのまま残してくれた。	前回みたいに食べれなくなる前に薬で症状を和らげましょうって点滴の針はそのまま残してくれたー。
3か月前にはなかったが、左肺に悪性腫瘍ができている。	3ヵ月前にはなかったが、左肺に1センチ位の影が。
シスプラチン＋ドセタキセルからペメドレキセドに変更後、胸痛が発現したことが少し心配だが、カロナール程度で緩和できており、たいしたことはない。	シスプラチン・ドセタキセルからペメドレキセドに変更後、胸部に痛みが出てきたのがちょっと心配だけど、カロナール程度でおさまって居るんだからたいしたこと無い。
シスプラチンで呼吸困難、血圧降下、蕁麻疹等の症状が出た体験を体が覚えていて、拒否しているのかもしれない。	シスプラチンで呼吸困難、血圧降下、蕁麻疹などなどの体験を、体が覚えていて拒否しているのかもしれない。
また、今回はすでに胃もたれ感が出ている。	それとなんか今回はもう胃腸がもたれている感が。
日によって程度の異なる倦怠感、排尿障害、睡眠障害等がある。	日によって身体の怠さ（重さ）が違ったり、尿意のコントロールが上手くいかなかったり、睡眠のコントロールも今ひとつだったり。
思わぬ発熱等により、行動予定が変わってしまうこともままある。	思わぬ発熱等で、行動予定が変わってしまうこともままある。
だが、腫瘍マーカー異常は大幅に改善した。	でも良いこともあり、マーカー（CEA）の数値は大幅に減少。
レントゲン画像では、悪性腫瘍は前回と変化が見られなかった。	レントゲンは前回と変化が見られなかった。
しいて言えば、肺癌の影が少し薄くなったかという程度である。	しいてあげるなら両肺にある点々と散らばった影が気持ち薄くなったのかな～っていうぐらい。
10月に3次治療として化学療法を行ったが、抗がん剤（サイラムザ＋ドセタキセル）が癌以外にも作用し、初回放射線治療の副作用の間質性肺炎が悪化し、2回の投与で中止されていた。	10月に３次治療として行った化学療法でしたが、抗がん剤（サイラムザ＋ドセタキセル）が癌以外にも効きすぎ、初回の放射線治療の副作用だった間質性肺炎が悪化し、２回の投与で中止になっていました。
腫瘍マーカーがすべてではないし、腫瘍マーカーの数値が低下したにも関わらずなぜかレントゲンやCTの画像で悪性腫瘍はあまり変わっていないが。	腫瘍マーカーがすべてではないしレントゲンやCTの画像はあまり変わりないしこれだけ腫瘍マーカーが下がってきてるのにって感じではありますが。
それでも、腫瘍マーカー異常が出なくなったことは、モチベーションも違うし、いいことには違いない。	それでもこれだけ腫瘍マーカーが下がってきて基準値内にまでなったことはモチベーションも違うしいいことには違いない。
シスプラチン＋アリムタ＋アバスチンの3日目以降の副作用により、発熱と嘔気がある。	シスプラチン、アリムタ、アバスチン３日目からの副作用でちょっと熱があって、ちょっと気持ち悪いし。
眠気が強かった。	すんごく眠かったけど。
副作用の便秘で明日が怖い。	副作用の便秘で明日が怖いけど。
第一に、爪の障害が治りつつある。	まず第一に、爪のボロボロが治りつつある。
第二に、食欲不振がない。	第二に、食欲、が半端じゃない。
第四に、口内炎が薬なしでもまだ現れていない。	第四に、口内炎が薬なしで今も現れない。
第五に、皮膚乾燥が治りつつある。	第五に、足裏のカサカサが治りつつある。
しかし、ただ一つ、トーリセルの時に皮膚そう痒症が出た。	しかし、ただ一つ痒みがトーリセルの時に＋α。
歯肉痛も出てきた。	歯茎の痛みも出てきた。
口内炎は出ていない。	口内炎はおきてない。
起きている時は常時、キーンという高音の耳鳴がある。	耳鳴り＝高い音（キ～ンと言う感じ）起きている時は常時鳴っている。
まぶたの下にたまに痙攣が出る。	まぶたの下がたまにピクピク痙攣している。
顎痛がある。	顎の付け根（奥歯）が痛い。
突然、様々な部位に筋肉痛が出る。	謎の筋肉痛＝突然、色々な所が筋肉痛になる。
咽頭灼熱感がある（抗がん剤点滴後２日間）。	喉の焼けるような痛み（（抗がん剤点滴後２日間）。
手指のしびれ感がある。	指の痺れ＝左・右手の小指・薬指・中指の先が常に痺れている。
遅発性副作用で、しゃっくり、顔面浮腫(いわゆる満月様顔貌)、吐き気が出てきた。	遅れながら副作用でしゃっくり、顔のむくみ(いわゆるムーンフェイス)、吐き気が始まりました。
その他の悩みとしては、右の肋骨痛がまだある。	その他の悩み→右肋骨の痛みはまだ有り。
副作用でしゃっくりが出ている。	地味な副作用でシャックリです。
背部痛、腰痛に加えて歯痛まで出るとは思っていなかった。	背中の痛み、腰の痛みに加えて歯まで痛くなるとは。
食欲不振はなく、吐き気や胃のむかつき、倦怠感もない。	食欲もふつう、吐き気やむかつき、倦怠感もなし。
2週間経過後も体調不良はなく、脱毛症もない。	2週間経っても体調は変わらず、毛も抜けない。
アリムタ＋アバスチン＋カルボプラチンで肺癌が消失した。	アリムタ、アバスチンカルボプラチンで癌が消えたこと。
最近、腫瘍マーカー異常が少し悪化していた。	最近、ちょっとマーカー上がっちゃったけどって言いましたが。
依然として舌浮腫がある。	相変わらず浮腫んだ舌。
現在のところ副作用は、そう痒性皮疹ぐらいだろうか。	今のとこ副作用は発疹の痒みぐらいかな。
現在のところ高血圧に効果は出ていない。	今のとこ効果は出ていない。
今日の副作用は眠気である。	今日の副作用はー、眠くなる。
下肢浮腫と筋肉痛がある。	足がちょっと、むくんでるような、すこーし筋肉痛の様な変な感じ。
それ以外に胃痛が出ることがある。	それとは別に胃の辺りとか、その周囲が軽く痛む事がある。
昨夜も嘔気に苦しみ、夜中に制吐剤を内服したが、それも嘔吐した。	昨夜も吐き気で苦しみ、夜中に吐き気止め使うものの、それも吐き。
「通常2、3日後に出現する吐き気が抗がん剤治療初日に出現したのは、よほどきつかったのか」	「吐き気は2、3日後に現れるのに、抗がん剤治療初日に出たのは、よほど、きつかったかな」
吐き気があるが、吐くものが無く、えずくばかりである。	食事がどうにも受け付けず、吐くものも無いので、えずくばかり。
ときどき下痢になるが、その翌日便秘したりする。	ときどき下痢っぽい状態になるけどその翌日はお通じなかったり。
手に浮腫が出ることがある。	浮腫んでドラえもんの手みたいになることもあったり。
これを書いている間に、アバスチンと制吐剤が投与され、イリノテカンも投与され、しばらくすると、ほてりが出てきた。	って、これ書きながら、アバスチン、吐き気どめと投与し、イリノテカンを投与してしばらくすると、、、暑い。
なぜか、ほてりがある。	謎のホットフラッシュ。
アレルギー反応の出現にも驚いたが、出現した途端、看護師や医師が私のところに一斉に集まってきたことの方が驚いた。	アレルギー出たのもびっくりしたけど、アレルギーだってなった途端に看護師さんとか先生が私のところに、ばばば〜‼︎って一斉に集まってきたことのほうがびっくりした。
ほてりが出ているので、今日はここまで。	顔がまた暑くてホワホワするので今日はこんなところで。
1〜2クール目は便秘の方が強かった。	1〜2クール目は便秘の圧勝。
5〜6クール目は下痢の方が強かった。	5〜6クール目は下痢の圧勝。
その他の副作用は、骨髄抑制による軽度の赤血球減少があるが、悪心・嘔吐・食欲不振・脱毛症・口内炎は出ていない。	その他の副作用は、骨髄抑制で赤血球減少が見られるが、基準値を僅かに下回るレベルで、悪心・嘔吐・食欲不振・脱毛・口内炎は無し。
肝機能障害と血小板減少症が一時的に出たが、基準値近くまで回復している。	肝機能数値と血小板は、一時的に基準値を外れたが基準値の近くまで戻っている。
前回5クール目の抗がん剤治療時は、直前に造影CT検査を行ったので、ヨード排出のために麦茶を1リットルほど飲んでおり、発汗過多であった。	前回5クール目で造影CTをケモ直前に行ったので、ヨード排出の為に麦茶を1ℓほど飲んでケモに臨んだが、大量の発汗があった。
前回同様に発汗過多があり、イリノテカンの副作用である「コリン様作用」によって、発汗、流涙、鼻汁、早発性下痢を発症していると感じた。	前回同様に大量の発汗があり、額から汗が滴り落ちる程であったので、イリノテカンの副作用として公表されている“コリン様作用”として、発汗、流涙、鼻汁、早発性下痢は、発症していると感じられる。
気候の変化の影響かもしれないが、オキサリプラチンの副作用である末梢性ニューロパチーが1回目より強く長く出ていると感じた。	気候の変動もあるかもしれないが、オキサリプラチンの副作用である冷感刺激は1回目よりも強く半減期も遅く感じた。
脱毛症が出て、髭と毛髪の伸びが遅い。	髭と毛髪の伸びは明らかに遅くなっており、やはり毛母細胞への影響がある様だ。
爪の障害は出ていないが、手足の角質ケアがよかったのか、私には副作用が出なかったのかは不明。	爪への影響は出ていないが、手足の角質ケアが功を奏しているのか、私の場合は副作用が無かったのか判らない。
胸やけが出ている。	何かムカムカする感じがあり。
ほてりがある。	熱はないのに身体が熱くて。
眠気が強く、21時には眠ったが。	眠気がMAXだったので21時には落ちたものの。
